state,county,tract,block,aian,api,black,hispanic,other,white
15,001,0201,102,0,5,0,28,0,23
15,001,0201,103,0,16,0,0,0,9
15,001,0201,104,0,35,0,9,0,20
15,001,0201,106,0,35,0,0,0,5
15,001,0201,108,0,97,1,9,0,32
15,001,0201,109,0,42,0,14,0,30
15,001,0201,110,0,15,0,4,0,8
15,001,0201,111,0,19,0,23,0,12
15,001,0201,112,0,14,0,5,0,10
15,001,0201,113,0,12,0,0,0,0
15,001,0201,201A,0,2,0,1,0,13
15,001,0201,204,0,1,0,1,0,0
15,001,0201,205,0,2,0,0,0,0
15,001,0201,207A,0,75,0,13,0,39
15,001,0201,208,0,1,0,0,0,0
15,001,0201,209,0,3,0,0,0,4
15,001,0201,211,0,10,0,0,0,1
15,001,0201,214,0,19,0,4,0,0
15,001,0201,215,0,3,0,0,0,0
15,001,0201,218,0,9,0,0,0,46
15,001,0201,225,0,12,0,0,0,4
15,001,0201,227,0,4,0,0,0,2
15,001,0201,232,0,12,0,0,0,0
15,001,0201,233,0,5,0,0,0,0
15,001,0201,239,0,0,0,0,0,0
15,001,0201,240,1,195,2,37,14,133
15,001,0201,241,0,52,0,6,0,24
15,001,0201,243,0,36,0,20,2,4
15,001,0201,244,0,133,0,13,12,9
15,001,0201,245,0,14,0,5,0,9
15,001,0201,246,0,74,0,1,0,1
15,001,0201,247,0,38,0,0,0,2
15,001,0201,248,0,99,0,15,8,19
15,001,0201,250,0,12,0,0,0,1
15,001,0201,251,0,75,0,2,10,4
15,001,0201,262A,0,0,0,0,0,2
15,001,0201,262B,0,34,0,1,0,23
15,001,0201,277,0,8,0,0,0,4
15,001,0201,280,0,21,0,2,0,2
15,001,0201,281B,0,74,0,2,0,19
15,001,0201,289,0,0,0,0,0,3
15,001,0201,291,2,72,1,3,0,35
15,001,0201,293,1,68,0,3,1,20
15,001,0201,294,0,8,0,0,0,0
15,001,0201,295,0,31,0,3,0,29
15,001,0201,296,0,43,0,1,1,7
15,001,0201,297,3,64,0,0,0,99
15,001,0201,318,2,0,0,0,0,1
15,001,0201,319,0,0,0,0,0,1
15,001,0201,335,0,0,0,0,0,0
15,001,0201,347,0,3,0,0,0,8
15,001,0201,358,0,112,0,23,0,13
15,001,0201,359,0,6,0,0,0,3
15,001,0201,361,0,3,0,0,0,2
15,001,0201,362,0,73,0,7,0,5
15,001,0201,363,0,34,0,1,0,0
15,001,0201,364,0,71,0,0,0,11
15,001,0201,365,0,64,0,5,1,5
15,001,0201,366,0,67,1,4,0,8
15,001,0201,367,0,63,0,4,0,1
15,001,0201,368,0,38,0,0,0,0
15,001,0201,369,0,43,0,19,0,1
15,001,0201,370,0,14,0,0,0,0
15,001,0201,371,0,20,0,2,0,7
15,001,0201,372,1,2,0,0,0,3
15,001,0201,373,0,0,0,0,0,4
15,001,0201,374,0,2,0,0,0,1
15,001,0201,375,0,16,0,0,0,0
15,001,0201,377,0,17,0,0,0,0
15,001,0201,381,0,2,0,0,0,1
15,001,0201,392,0,6,0,4,0,9
15,001,0201,394,0,1,0,0,0,3
15,001,0201,396,0,4,0,4,0,0
15,001,0201,401,0,9,0,0,0,0
15,001,0201,402,0,1,0,0,0,1
15,001,0201,405,0,41,0,10,0,2
15,001,0201,406,0,24,0,8,0,9
15,001,0201,408,0,19,0,0,0,1
15,001,0201,409,0,5,0,3,0,4
15,001,0201,412,0,8,0,0,0,3
15,001,0201,414,0,12,0,0,0,0
15,001,0201,415,0,8,0,0,0,4
15,001,0201,416,0,13,0,0,0,1
15,001,0201,417,0,0,0,0,0,1
15,001,0201,418,0,19,0,3,0,7
15,001,0201,419,0,15,0,0,0,7
15,001,0201,421,0,5,0,1,0,0
15,001,0201,422,0,10,0,2,0,1
15,001,0201,423,0,70,0,4,0,9
15,001,0201,424,0,7,0,0,0,0
15,001,0201,425,0,4,0,0,0,0
15,001,0201,426,0,7,0,0,0,0
15,001,0201,427,0,17,0,0,0,5
15,001,0201,428,0,5,0,0,0,1
15,001,0201,429,0,14,0,0,0,7
15,001,0201,430,0,6,0,0,0,1
15,001,0201,431,0,9,0,6,0,7
15,001,0201,432,0,16,0,0,0,4
15,001,0201,433,0,25,0,0,0,7
15,001,0201,434,0,43,0,0,0,12
15,001,0201,439,0,7,0,0,0,1
15,001,0201,440,0,77,0,11,0,47
15,001,0201,442,0,4,0,0,0,0
15,001,0201,448,0,31,0,0,0,1
15,001,0201,449,0,133,0,22,0,18
15,001,0201,451,0,71,0,15,0,25
15,001,0201,452,0,21,0,4,0,4
15,001,0201,453,0,32,0,9,0,16
15,001,0201,454,0,0,0,0,0,0
15,001,0201,455,0,18,0,0,0,8
15,001,0201,456,0,29,0,15,0,7
15,001,0201,457,0,30,0,0,0,6
15,001,0201,458,0,21,0,5,0,6
15,001,0201,459,0,15,0,1,0,2
15,001,0201,460,0,7,0,0,0,3
15,001,0201,461,0,86,0,14,0,3
15,001,0201,462,0,18,0,15,0,6
15,001,0201,463,0,46,0,2,0,14
15,001,0201,465,0,129,0,37,0,30
15,001,0201,466,0,16,0,0,0,1
15,001,0201,468,0,4,0,0,0,0
15,001,0202,101,0,8,0,0,0,26
15,001,0202,103,0,38,0,35,0,16
15,001,0202,104,0,17,1,2,0,41
15,001,0202,105,0,6,0,0,0,6
15,001,0202,116,1,121,0,21,0,37
15,001,0202,117,0,87,0,13,1,18
15,001,0202,118,0,115,0,23,0,17
15,001,0202,119,0,34,0,3,0,2
15,001,0202,120,0,24,0,0,0,5
15,001,0202,121,0,3,0,0,0,0
15,001,0202,124,0,15,0,0,0,0
15,001,0202,126,0,6,0,0,0,2
15,001,0202,128,0,153,0,14,0,46
15,001,0202,129,0,58,0,6,0,36
15,001,0202,130,0,43,0,6,0,7
15,001,0202,134,0,49,0,0,0,1
15,001,0202,137,0,33,0,0,0,21
15,001,0202,138,0,7,0,0,0,19
15,001,0202,201,0,92,0,9,0,99
15,001,0202,202,1,14,0,1,0,7
15,001,0202,204,0,78,0,3,0,9
15,001,0202,220,0,27,0,1,0,3
15,001,0202,221,0,0,0,0,0,2
15,001,0202,265,1,74,12,14,0,28
15,001,0202,292,0,9,0,5,0,14
15,001,0202,293,0,59,3,24,0,28
15,001,0202,294,0,8,0,0,0,3
15,001,0203,101,5,77,0,5,0,88
15,001,0203,102,0,5,0,0,0,3
15,001,0203,103,0,6,0,0,0,0
15,001,0203,104,0,13,0,4,0,15
15,001,0203,105,0,22,0,4,0,3
15,001,0203,106,0,12,0,2,0,15
15,001,0203,109,0,15,0,4,0,25
15,001,0203,110,0,13,0,0,0,28
15,001,0203,111,0,131,0,13,0,37
15,001,0203,112,0,58,0,1,0,66
15,001,0203,113,0,23,0,7,0,35
15,001,0203,201,0,0,0,3,0,2
15,001,0203,202,1,9,0,4,0,19
15,001,0203,203,0,1,0,0,0,17
15,001,0203,204,0,1,0,0,0,3
15,001,0203,205,0,70,4,16,0,105
15,001,0203,207,1,52,2,9,5,68
15,001,0203,208,0,89,0,11,0,55
15,001,0203,209,0,34,1,7,0,44
15,001,0203,210,2,154,2,39,0,89
15,001,0203,211,1,60,6,12,0,63
15,001,0203,212,0,116,15,44,1,57
15,001,0203,221,3,34,3,3,0,42
15,001,0203,301,0,0,0,0,0,2
15,001,0203,302,0,0,0,0,0,1
15,001,0203,303,0,2,0,0,0,8
15,001,0203,304,0,3,0,0,0,0
15,001,0203,305,0,6,0,1,0,1
15,001,0203,306,0,2,0,0,0,0
15,001,0203,307,0,2,0,0,0,2
15,001,0203,308,0,7,0,0,0,11
15,001,0203,309,0,20,0,2,0,4
15,001,0203,310,0,39,0,0,0,14
15,001,0203,311,0,32,1,1,0,35
15,001,0203,312,1,98,3,10,0,55
15,001,0203,313,2,15,0,1,0,6
15,001,0203,314,0,5,1,3,0,15
15,001,0203,315,0,2,0,1,0,0
15,001,0203,401,2,172,5,68,0,93
15,001,0203,402,0,11,0,4,0,15
15,001,0203,403,1,34,0,7,0,8
